# Undirected graph (each unordered pair of nodes is saved once): BA(10000,10).txt
# Nodes: 10000 Edges: 99945
# NodeId	NodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	14
0	20
0	28
0	29
0	30
0	35
0	39
0	48
0	70
0	74
0	81
0	82
0	85
0	87
0	88
0	92
0	94
0	95
0	101
0	103
0	106
0	113
0	117
0	120
0	121
0	123
0	124
0	128
0	132
0	133
0	147
0	149
0	158
0	172
0	176
0	183
0	193
0	202
0	210
0	211
0	216
0	221
0	222
0	238
0	263
0	271
0	272
0	279
0	286
0	313
0	341
0	353
0	370
0	378
0	383
0	398
0	403
0	406
0	416
0	426
0	432
0	437
0	443
0	469
0	474
0	489
0	490
0	498
0	515
0	524
0	526
0	542
0	544
0	570
0	571
0	584
0	622
0	634
0	652
0	675
0	738
0	761
0	820
0	885
0	896
0	905
0	910
0	928
0	938
0	978
0	1035
0	1078
0	1081
0	1101
0	1120
0	1190
0	1235
0	1261
0	1264
0	1265
0	1283
0	1350
0	1354
0	1453
0	1460
0	1498
0	1515
0	1555
0	1567
0	1570
0	1587
0	1609
0	1725
0	1727
0	1778
0	1795
0	1801
0	1809
0	1832
0	1873
0	1895
0	1956
0	2071
0	2122
0	2159
0	2184
0	2218
0	2406
0	2424
0	2427
0	2523
0	2553
0	2558
0	2646
0	2781
0	2824
0	2838
0	2862
0	2867
0	2913
0	2950
0	2998
0	3003
0	3115
0	3147
0	3200
0	3287
0	3353
0	3389
0	3477
0	3479
0	3511
0	3523
0	3525
0	3532
0	3621
0	3625
0	3673
0	3685
0	3690
0	3760
0	3840
0	3893
0	3933
0	3941
0	4116
0	4219
0	4308
0	4517
0	4624
0	4651
0	4799
0	4851
0	4875
0	4885
0	4925
0	4937
0	4960
0	4982
0	5043
0	5194
0	5267
0	5390
0	5422
0	5473
0	5598
0	5605
0	5610
0	5614
0	5620
0	5674
0	5701
0	5702
0	5707
0	5723
0	5775
0	5875
0	5933
0	6049
0	6253
0	6280
0	6318
0	6339
0	6360
0	6520
0	6579
0	6586
0	6639
0	6749
0	6750
0	6779
0	6843
0	6888
0	6902
0	7137
0	7468
0	7605
0	7620
0	7622
0	7699
0	7727
0	7900
0	7924
0	8266
0	8276
0	8409
0	8650
0	8723
0	8743
0	8845
0	8846
0	8886
0	8987
0	9119
0	9121
0	9175
0	9226
0	9468
0	9564
0	9720
0	9742
0	9806
0	9822
0	9968
0	9977
0	9978
0	9981
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	12
1	13
1	14
1	15
1	18
1	20
1	21
1	22
1	24
1	25
1	26
1	29
1	32
1	34
1	35
1	36
1	39
1	42
1	43
1	46
1	49
1	50
1	53
1	54
1	57
1	58
1	61
1	62
1	65
1	66
1	69
1	70
1	73
1	76
1	77
1	79
1	92
1	93
1	96
1	102
1	103
1	105
1	107
1	112
1	113
1	114
1	119
1	125
1	128
1	131
1	133
1	146
1	150
1	153
1	156
1	159
1	162
1	166
1	171
1	178
1	180
1	189
1	192
1	196
1	209
1	217
1	225
1	228
1	229
1	236
1	242
1	243
1	254
1	263
1	266
1	271
1	273
1	275
1	305
1	317
1	321
1	337
1	352
1	366
1	367
1	369
1	370
1	375
1	382
1	394
1	396
1	419
1	421
1	423
1	437
1	445
1	450
1	462
1	465
1	470
1	471
1	487
1	497
1	504
1	506
1	508
1	512
1	530
1	536
1	556
1	559
1	566
1	575
1	583
1	584
1	586
1	587
1	596
1	628
1	635
1	642
1	660
1	664
1	669
1	710
1	721
1	745
1	747
1	760
1	765
1	778
1	780
1	781
1	784
1	792
1	796
1	833
1	834
1	845
1	846
1	856
1	879
1	887
1	894
1	911
1	930
1	959
1	979
1	980
1	981
1	1008
1	1014
1	1031
1	1040
1	1059
1	1064
1	1072
1	1092
1	1097
1	1101
1	1104
1	1106
1	1109
1	1114
1	1166
1	1169
1	1178
1	1195
1	1199
1	1210
1	1220
1	1223
1	1230
1	1232
1	1246
1	1297
1	1322
1	1341
1	1360
1	1366
1	1379
1	1407
1	1411
1	1432
1	1506
1	1516
1	1546
1	1555
1	1577
1	1595
1	1615
1	1627
1	1641
1	1677
1	1682
1	1712
1	1721
1	1743
1	1745
1	1751
1	1784
1	1795
1	1799
1	1801
1	1828
1	1832
1	1834
1	1842
1	1873
1	1894
1	1896
1	1907
1	1912
1	1942
1	1957
1	1960
1	1975
1	2055
1	2097
1	2114
1	2116
1	2123
1	2131
1	2150
1	2169
1	2202
1	2208
1	2229
1	2238
1	2246
1	2247
1	2248
1	2277
1	2379
1	2385
1	2413
1	2435
1	2437
1	2449
1	2450
1	2505
1	2551
1	2554
1	2556
1	2629
1	2677
1	2703
1	2749
1	2756
1	2838
1	2843
1	2868
1	2885
1	2890
1	2944
1	2961
1	2982
1	3028
1	3051
1	3073
1	3110
1	3111
1	3116
1	3118
1	3175
1	3177
1	3219
1	3260
1	3284
1	3288
1	3347
1	3434
1	3435
1	3440
1	3451
1	3468
1	3523
1	3529
1	3576
1	3656
1	3689
1	3741
1	3745
1	3798
1	3828
1	3843
1	3852
1	3964
1	4000
1	4001
1	4089
1	4108
1	4120
1	4137
1	4313
1	4366
1	4524
1	4551
1	4674
1	4753
1	4790
1	4795
1	4880
1	4884
1	4972
1	4978
1	5009
1	5020
1	5066
1	5100
1	5159
1	5161
1	5191
1	5193
1	5248
1	5270
1	5284
1	5334
1	5470
1	5493
1	5526
1	5597
1	5598
1	5648
1	5663
1	5687
1	5786
1	5840
1	5852
1	5909
1	5962
1	5967
1	5991
1	5994
1	6041
1	6071
1	6077
1	6132
1	6157
1	6170
1	6235
1	6265
1	6289
1	6301
1	6404
1	6407
1	6476
1	6494
1	6585
1	6632
1	6643
1	6691
1	6695
1	6710
1	6802
1	6818
1	6857
1	6891
1	6931
1	6967
1	6981
1	7031
1	7129
1	7175
1	7276
1	7282
1	7290
1	7355
1	7376
1	7440
1	7454
1	7474
1	7489
1	7543
1	7552
1	7559
1	7603
1	7604
1	7656
1	7698
1	7764
1	7785
1	7834
1	7948
1	7997
1	8075
1	8124
1	8130
1	8136
1	8167
1	8226
1	8335
1	8374
1	8381
1	8406
1	8473
1	8496
1	8570
1	8625
1	8712
1	8771
1	8834
1	8873
1	8885
1	8896
1	8969
1	8972
1	8978
1	9009
1	9168
1	9215
1	9350
1	9388
1	9589
1	9641
1	9683
1	9721
1	9792
1	9795
1	9909
1	9922
1	9924
1	9985
2	3
2	4
2	5
2	6
2	7
2	8
2	9
2	10
2	11
2	12
2	14
2	15
2	16
2	18
2	21
2	22
2	23
2	24
2	25
2	27
2	30
2	32
2	35
2	36
2	37
2	40
2	42
2	44
2	52
2	56
2	57
2	59
2	68
2	79
2	82
2	84
2	89
2	99
2	106
2	108
2	114
2	115
2	124
2	137
2	144
2	153
2	157
2	158
2	161
2	167
2	173
2	175
2	179
2	191
2	192
2	193
2	203
2	211
2	214
2	218
2	229
2	241
2	245
